title|genre|director|actors|description|rating
The Dark Knight|Action|Crime|Drama|Christopher Nolan|Christian Bale/Heath Ledger/Aaron Eckhart|Batman raises the stakes in his war on crime with the help of Lt. Jim Gordon and DA Harvey Dent.|9.0
Inception|Action|Adventure|Sci-Fi|Christopher Nolan|Leonardo DiCaprio/Joseph Gordon-Levitt/Elliot Page|A thief who steals corporate secrets through dream-sharing technology is given the task of planting an idea.|8.8
Interstellar|Adventure|Drama|Sci-Fi|Christopher Nolan|Matthew McConaughey/Anne Hathaway/Jessica Chastain|A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.|8.6
The Prestige|Drama|Mystery|Sci-Fi|Christopher Nolan|Christian Bale/Hugh Jackman/Scarlett Johansson|Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate illusion.|8.5
Memento|Mystery|Thriller|Christopher Nolan|Guy Pearce/Carrie-Anne Moss/Joe Pantoliano|A man with short-term memory loss attempts to track down his wife's murderer.|8.4
The Godfather|Crime|Drama|Francis Ford Coppola|Marlon Brando/Al Pacino/James Caan|The aging patriarch of an organized crime dynasty transfers control to his reluctant son.|9.2
The Godfather Part II|Crime|Drama|Francis Ford Coppola|Al Pacino/Robert De Niro/Robert Duvall|The early life and career of Vito Corleone in 1920s New York is portrayed while his son Michael expands the family business.|9.0
Apocalypse Now|Drama|Mystery|War|Francis Ford Coppola|Martin Sheen/Marlon Brando/Robert Duvall|A US Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel.|8.4
Pulp Fiction|Crime|Drama|Quentin Tarantino|John Travolta/Uma Thurman/Samuel L. Jackson|The lives of two mob hitmen a boxer a gangster and his wife intertwine in four tales of violence and redemption.|8.9
Django Unchained|Drama|Western|Quentin Tarantino|Jamie Foxx/Christoph Waltz/Leonardo DiCaprio|With the help of a German bounty hunter a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.|8.4
Inglourious Basterds|Adventure|Drama|War|Quentin Tarantino|Brad Pitt/Christoph Waltz/Michael Fassbender|In Nazi-occupied France during World War II a plan to assassinate Nazi leaders by a group of Jewish US soldiers coincides with a young French woman's plan for revenge.|8.3
Kill Bill Vol. 1|Action|Crime|Thriller|Quentin Tarantino|Uma Thurman/David Carradine/Lucy Liu|After awakening from a coma a woman seeks revenge on the assassination squad that tried to kill her.|8.1
The Shawshank Redemption|Drama|Frank Darabont|Tim Robbins/Morgan Freeman/Bob Gunton|Two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency.|9.3
The Green Mile|Crime|Drama|Fantasy|Frank Darabont|Tom Hanks/Michael Clarke Duncan/David Morse|The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape yet who has a mysterious gift.|8.6
Schindler's List|Biography|Drama|History|Steven Spielberg|Liam Neeson/Ralph Fiennes/Ben Kingsley|In German-occupied Poland during World War II industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.|9.0
Saving Private Ryan|Drama|War|Steven Spielberg|Tom Hanks/Matt Damon/Tom Sizemore|Following the Normandy Landings a group of US soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.|8.6
Jurassic Park|Action|Adventure|Sci-Fi|Steven Spielberg|Sam Neill/Laura Dern/Jeff Goldblum|A pragmatic paleontologist visiting an almost-complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.|8.1
Raiders of the Lost Ark|Action|Adventure|Steven Spielberg|Harrison Ford/Karen Allen/Paul Freeman|In 1936 archaeologist and adventurer Indiana Jones is hired by the US government to find the Ark of the Covenant before the Nazis.|8.4
Goodfellas|Biography|Crime|Drama|Martin Scorsese|Robert De Niro/Ray Liotta/Joe Pesci|The story of Henry Hill and his life in the mob covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito.|8.7
